day,num_samples,correct@1,correct@3,correct@5,correct@10,rr,ndcg,f1,total,acc@1,acc@5,acc@10,mrr,loss
Monday,538,323.0,437.0,465.0,484.0,384.69537,75.95728039741516,0.5610544520404702,538.0,60.037171840667725,86.43122911453247,89.96282815933228,71.50471806526184,2.003529878312438
Tuesday,529,320.0,439.0,460.0,467.0,382.0051,76.08420848846436,0.572649407891107,529.0,60.491496324539185,86.95651888847351,88.27977180480957,72.2126841545105,1.976787498097564
Wednesday,521,302.0,421.0,444.0,459.0,362.17203,74.00457859039307,0.540739209883912,521.0,57.96545147895813,85.22073030471802,88.09980750083923,69.51478719711304,2.15319948325974
Thursday,541,297.0,401.0,427.0,448.0,354.2511,69.53595876693726,0.5121479637600952,541.0,54.89833354949951,78.92791032791138,82.8096091747284,65.48079252243042,2.5163754013379047
Friday,517,224.0,351.0,382.0,406.0,292.61996,61.772799491882324,0.39142737262050964,517.0,43.326884508132935,73.88781309127808,78.52997779846191,56.599605083465576,3.171723589517277
Saturday,464,198.0,295.0,324.0,344.0,252.82582,58.92399549484253,0.38733446485934886,464.0,42.67241358757019,69.82758641242981,74.13793206214905,54.488325119018555,3.394919653567646
Sunday,392,226.0,327.0,338.0,347.0,276.52737,74.90883469581604,0.5339296596177155,392.0,57.65306353569031,86.22449040412903,88.52040767669678,70.54269909858704,2.074100639176916
