day,num_samples,correct@1,correct@3,correct@5,correct@10,rr,ndcg,f1,total,acc@1,acc@5,acc@10,mrr,loss
Monday,1866,1073.0,1436.0,1537.0,1610.0,1274.8892,72.57184982299805,0.5305959807863466,1866.0,57.502681016922,82.36870169639587,86.28081679344177,68.32203269004822,2.338983013698909
Tuesday,1244,739.0,990.0,1056.0,1101.0,876.23145,74.77281093597412,0.5545541804132803,1244.0,59.405142068862915,84.8874568939209,88.50482106208801,70.43660879135132,2.1099194815768665
Wednesday,1695,956.0,1291.0,1379.0,1446.0,1138.8502,71.5058445930481,0.5136508485227206,1695.0,56.4011812210083,81.35693073272705,85.30973196029663,67.18880534172058,2.478287372400759
Thursday,1766,989.0,1369.0,1446.0,1515.0,1191.763,71.8488872051239,0.5196786977408299,1766.0,56.002265214920044,81.87995553016663,85.7870876789093,67.48374700546265,2.42057895633083
Friday,1978,1116.0,1524.0,1629.0,1719.0,1341.7612,72.36948013305664,0.5210629692854888,1978.0,56.42062425613403,82.35591650009155,86.9059681892395,67.83424019813538,2.2985744574846447
Saturday,1970,1096.0,1498.0,1591.0,1671.0,1315.399,71.05914354324341,0.5072568270790367,1970.0,55.63451647758484,80.76142072677612,84.8223328590393,66.77152514457703,2.521754926515904
Sunday,1849,1064.0,1448.0,1531.0,1591.0,1267.8717,72.73026704788208,0.5238997658472597,1849.0,57.54461884498596,82.8015148639679,86.04651093482971,68.57067346572876,2.401453883684829
