length_bin,num_samples,correct@1,correct@3,correct@5,correct@10,rr,ndcg,f1,total,acc@1,acc@5,acc@10,mrr,loss
1-4,141,69.0,93.0,100.0,105.0,82.80257,62.40835189819336,0.44757252258850583,141.0,48.93617033958435,70.92198729515076,74.46808218955994,58.72522592544556,3.2648299461138164
6-9,596,305.0,443.0,475.0,488.0,377.2396,67.77333617210388,0.4755074899800199,596.0,51.17449760437012,79.69798445701599,81.8791925907135,63.29523324966431,2.7344828902074956
11-14,730,431.0,591.0,617.0,625.0,512.7228,73.92926812171936,0.5460747822543415,730.0,59.04109477996826,84.52054858207703,85.61643958091736,70.23599743843079,2.1635433943916675
16-19,315,177.0,240.0,258.0,270.0,212.22234,71.71530723571777,0.5224787806782943,315.0,56.190478801727295,81.90476298332214,85.71428656578064,67.37217307090759,2.3580375833170755
21-29,454,264.0,367.0,384.0,401.0,317.53073,74.35287833213806,0.5260195234114667,454.0,58.149778842926025,84.58150029182434,88.32598924636841,69.94069218635559,2.179434136015728
31-49,725,357.0,531.0,577.0,620.0,452.93253,67.8079903125763,0.4439374216507165,725.0,49.24137890338898,79.5862078666687,85.51723957061768,62.47345209121704,2.477392433316543
