frequency_level,num_samples,avg_frequency,correct@1,correct@3,correct@5,correct@10,rr,ndcg,f1,total,acc@1,acc@5,acc@10,mrr,loss
Very Rare (≤P10),176,9.369318181818182,7.0,25.0,32.0,40.0,17.16421,12.778349220752716,0.048106060606060604,176.0,3.9772726595401764,18.18181872367859,22.727273404598236,9.752392023801804,9.244364403188229
Rare (P10-P25),162,22.75925925925926,13.0,23.0,29.0,39.0,20.705105,15.224751830101013,0.092798353909465,162.0,8.024691045284271,17.901234328746796,24.074074625968933,12.780928611755371,8.730031730170236
Occasional (P25-P50),369,45.766937669376695,58.0,123.0,147.0,170.0,95.850746,30.729541182518005,0.18081160032379548,369.0,15.718157589435577,39.83739912509918,46.070459485054016,25.97581148147583,6.698871141526757
Common (P50-P75),430,99.12558139534883,43.0,98.0,133.0,163.0,81.357925,23.046384751796722,0.13070304372629954,430.0,10.000000149011612,30.930233001708984,37.90697753429413,18.920448422431946,7.01104784787221
Frequent (P75-P90),1068,337.5870786516854,241.0,475.0,587.0,692.0,389.51675,42.78523921966553,0.2586650026539983,1068.0,22.56554365158081,54.96254563331604,64.79400992393494,36.47160530090332,4.565744730441618
Very Frequent (>P90),9678,449384.0612729903,6490.0,8514.0,8895.0,9180.0,7554.9946,82.12238550186157,0.6610274582817266,9678.0,67.05930829048157,91.90948605537415,94.85430717468262,78.06359529495239,1.4465391973147486
Unseen Location,485,0.0,181.0,298.0,346.0,369.0,247.23125,57.092660665512085,0.5432019589188515,485.0,37.31958866119385,71.34020328521729,76.08247399330139,50.97551345825195,4.1561203264391295
