frequency_level,num_samples,avg_frequency,correct@1,correct@3,correct@5,correct@10,rr,ndcg,f1,total,acc@1,acc@5,acc@10,mrr,loss
Very Rare (≤P10),43,4.209302325581396,0.0,2.0,2.0,2.0,1.0974729,2.3255813866853714,0.0,43.0,0.0,4.651162773370743,4.651162773370743,2.552262507379055,8.065711830937586
Rare (P10-P25),100,11.06,4.0,16.0,22.0,25.0,11.282252,14.196975529193878,0.06608695652173913,100.0,3.999999910593033,21.99999988079071,25.0,11.2822525203228,6.962012993097305
Occasional (P25-P50),88,20.806818181818183,1.0,4.0,6.0,6.0,3.43762,4.067487642168999,0.011363636363636364,88.0,1.1363636702299118,6.818182021379471,6.818182021379471,3.9063863456249237,7.982932665808634
Common (P50-P75),137,38.21897810218978,18.0,38.0,44.0,48.0,30.357044,24.66801553964615,0.17425348374253483,137.0,13.138686120510101,32.11678862571716,35.036495327949524,22.15842604637146,6.022534525524961
Frequent (P75-P90),96,76.21875,10.0,26.0,32.0,36.0,19.762375,23.41984659433365,0.14750874125874125,96.0,10.41666641831398,33.33333432674408,37.5,20.585806667804718,5.7212367213020725
Very Frequent (>P90),2234,5473.745299910474,1446.0,1966.0,2061.0,2130.0,1721.0256,81.48496747016907,0.6396027080777854,2234.0,64.72694873809814,92.2560453414917,95.34467458724976,77.03785300254822,1.5148583609934299
Unseen Location,804,0.0,411.0,619.0,673.0,708.0,518.1348,70.13441324234009,0.6737123630402898,804.0,51.119405031204224,83.70646834373474,88.05969953536987,64.4446313381195,2.6502766592882168
