time_period,num_samples,correct@1,correct@3,correct@5,correct@10,rr,ndcg,f1,total,acc@1,acc@5,acc@10,mrr,loss
Early Morning (00-06),849,381.0,602.0,640.0,674.0,496.7361,63.42088580131531,0.38955548750217367,849.0,44.87632513046265,75.38280487060547,79.38751578330994,58.50837826728821,2.915970245286278
Morning (06-12),1228,683.0,939.0,1003.0,1044.0,821.2604,71.1510956287384,0.5138199385553585,1228.0,55.61889410018921,81.67752623558044,85.01628637313843,66.87788367271423,2.3634966772826274
Afternoon (12-18),892,486.0,689.0,744.0,777.0,596.8691,71.75570726394653,0.5103200962937426,892.0,54.48430776596069,83.4080696105957,87.1076226234436,66.91357493400574,2.38902252003751
Evening (18-24),533,340.0,441.0,453.0,460.0,390.23212,76.37176513671875,0.5938864467402849,533.0,63.78986835479736,84.99062061309814,86.30393743515015,73.21428060531616,2.1122442876839727
