Dataset,Time Period,Samples,Acc@1,Acc@5,Acc@10,MRR,NDCG,F1,Loss
Geolife,Early Morning (00-06),849,44.88,75.38,79.39,58.51,63.42,38.96,2.9160
Geolife,Morning (06-12),1228,55.62,81.68,85.02,66.88,71.15,51.38,2.3635
Geolife,Afternoon (12-18),892,54.48,83.41,87.11,66.91,71.76,51.03,2.3890
Geolife,Evening (18-24),533,63.79,84.99,86.30,73.21,76.37,59.39,2.1122
DIY,Early Morning (00-06),1289,60.59,83.71,87.04,70.63,74.49,55.91,2.1639
DIY,Morning (06-12),4224,55.26,80.87,84.68,66.42,70.75,49.97,2.5333
DIY,Afternoon (12-18),3789,57.43,82.92,87.04,68.70,73.09,52.31,2.3078
DIY,Evening (18-24),3066,56.82,82.58,86.63,68.10,72.52,52.71,2.3435
