time_period,num_samples,correct@1,correct@3,correct@5,correct@10,rr,ndcg,f1,total,acc@1,acc@5,acc@10,mrr,loss
Early Morning (00-06),1289,781.0,1019.0,1079.0,1122.0,910.3662,74.49498176574707,0.5590830119527905,1289.0,60.58960556983948,83.70829820632935,87.04422116279602,70.6257700920105,2.1639305997677467
Morning (06-12),4224,2334.0,3193.0,3416.0,3577.0,2805.4285,70.74723243713379,0.4996689427836241,4224.0,55.25568127632141,80.87121248245239,84.68276262283325,66.41639471054077,2.533344213201252
Afternoon (12-18),3789,2176.0,2974.0,3142.0,3298.0,2603.05,73.09091091156006,0.5230945744552334,3789.0,57.42940306663513,82.92425274848938,87.04143762588501,68.7001883983612,2.3077990838578946
Evening (18-24),3066,1742.0,2370.0,2532.0,2656.0,2087.9204,72.51567244529724,0.5270914469612071,3066.0,56.816697120666504,82.58317112922668,86.62752509117126,68.09916496276855,2.3434586288238557
