recency_bin,num_samples,correct@1,correct@3,correct@5,correct@10,rr,ndcg,f1,total,acc@1,acc@5,acc@10,mrr,loss
Target: Same Day (0),827,535.0,764.0,794.0,813.0,648.6384,83.3780288696289,0.6708950517541388,827.0,64.69165682792664,96.00967168807983,98.30713272094727,78.432697057724,1.4213943715052997
Target: 1 Day Ago,1294,982.0,1251.0,1278.0,1289.0,1114.3298,89.53439593315125,0.7530903447553644,1294.0,75.88871717453003,98.76352548599243,99.61360096931458,86.11513376235962,1.0100354658615367
Target: 2-3 Days Ago,485,260.0,418.0,462.0,479.0,344.4042,77.85738110542297,0.5157608924424997,485.0,53.60824465751648,95.2577292919159,98.76288771629333,71.01117372512817,1.702637428198893
Target: 4-7 Days Ago,329,112.0,213.0,256.0,287.0,170.52692,59.94213819503784,0.31769413917619127,329.0,34.04255211353302,77.81155109405518,87.2340440750122,51.831889152526855,2.8163064658687107
Target: Not in History,567,1.0,25.0,50.0,87.0,27.19731,6.4150892198085785,0.0003841654006670508,567.0,0.17636683769524097,8.818341791629791,15.343914926052094,4.796703532338142,7.760218573836002
