recency_bin,num_samples,correct@1,correct@3,correct@5,correct@10,rr,ndcg,f1,total,acc@1,acc@5,acc@10,mrr,loss
Same Day (0),2079,1116.0,1590.0,1696.0,1770.0,1365.8497,70.29759883880615,0.4960525443138226,2079.0,53.6796510219574,81.57768249511719,85.13708710670471,65.69743752479553,2.4092815942263135
1 Day Ago,1184,689.0,924.0,971.0,1000.0,815.2483,72.5756049156189,0.5326774618037914,1184.0,58.19256901741028,82.01013803482056,84.45945978164673,68.85542869567871,2.36776480487724
2-3 Days Ago,195,72.0,129.0,144.0,154.0,103.45861,59.226495027542114,0.3505127861034029,195.0,36.92307770252228,73.84615540504456,78.97436022758484,53.05569767951965,3.3627346254694155
4-7 Days Ago,44,13.0,28.0,29.0,31.0,20.538977,52.336686849594116,0.29574592074592077,44.0,29.545453190803528,65.90909361839294,70.45454382896423,46.67949378490448,3.790993968194181
