recency_bin,num_samples,correct@1,correct@3,correct@5,correct@10,rr,ndcg,f1,total,acc@1,acc@5,acc@10,mrr,loss
Target: Same Day (0),3796,2710.0,3568.0,3716.0,3778.0,3147.31,87.06523180007935,0.6965819518887553,3796.0,71.3909387588501,97.89251685142517,99.52581524848938,82.91122317314148,1.0048939910063714
Target: 1 Day Ago,3823,2789.0,3615.0,3752.0,3816.0,3209.9814,87.94369101524353,0.7118422571813743,3823.0,72.95317649841309,98.14282059669495,99.81690049171448,83.96498560905457,0.9777779106353781
Target: 2-3 Days Ago,1957,1240.0,1744.0,1871.0,1938.0,1505.1439,82.35481977462769,0.6024797127946975,1957.0,63.36228847503662,95.60551643371582,99.02912378311157,76.91077589988708,1.3216349556813693
Target: 4-7 Days Ago,828,281.0,545.0,671.0,785.0,444.12814,63.30384612083435,0.2991424481762646,828.0,33.93719792366028,81.03864789009094,94.80676054954529,53.63866686820984,2.41970961669163
Target: Not in History,1964,13.0,84.0,159.0,336.0,100.19818,7.04764649271965,0.0018364484634980256,1964.0,0.6619144696742296,8.095722645521164,17.107942700386047,5.10174036026001,8.796774781011273
