recency_bin,num_samples,correct@1,correct@3,correct@5,correct@10,rr,ndcg,f1,total,acc@1,acc@5,acc@10,mrr,loss
Same Day (0),8268,4631.0,6371.0,6794.0,7133.0,5577.867,71.94005250930786,0.5105563252380492,8268.0,56.011128425598145,82.17223286628723,86.27237677574158,67.46332049369812,2.3817794029375636
1 Day Ago,3264,1970.0,2586.0,2731.0,2842.0,2304.4336,74.53420162200928,0.5622797703992072,3264.0,60.35539507865906,83.67034196853638,87.07107901573181,70.60151696205139,2.2353131346422814
2-3 Days Ago,703,368.0,504.0,544.0,572.0,444.70795,67.52431988716125,0.45885464481430444,703.0,52.347081899642944,77.38264799118042,81.36557340621948,63.25860023498535,2.853775997700469
4-7 Days Ago,133,64.0,95.0,100.0,106.0,79.77569,64.52710628509521,0.41517238474337104,133.0,48.120301961898804,75.18796920776367,79.69924807548523,59.98172163963318,3.1926968513630833
