activity_level,num_samples,num_users,avg_visits,avg_diversity,correct@1,correct@3,correct@5,correct@10,rr,ndcg,f1,total,acc@1,acc@5,acc@10,mrr,loss
Low Activity,139,12,22.0,7.833333333333333,77.0,104.0,107.0,108.0,90.31347,68.05406212806702,0.49978410479722113,139.0,55.39568066596985,76.9784152507782,77.69784331321716,64.97371792793274,2.8901272127739817
Medium Activity,1000,21,132.57142857142858,25.238095238095237,464.0,711.0,780.0,817.0,598.36536,65.02361297607422,0.41358867617577144,1000.0,46.39999866485596,77.99999713897705,81.69999718666077,59.83653664588928,2.8241586071401836
High Activity,2363,12,656.5,99.91666666666667,1349.0,1856.0,1953.0,2030.0,1616.4171,72.55493998527527,0.5285017742133882,2363.0,57.088446617126465,82.64917731285095,85.90774536132812,68.40529441833496,2.289031171916629
