activity_level,num_samples,num_users,avg_visits,avg_diversity,correct@1,correct@3,correct@5,correct@10,rr,ndcg,f1,total,acc@1,acc@5,acc@10,mrr,loss
Low Activity,1093,174,69.43103448275862,12.620689655172415,699.0,859.0,886.0,915.0,783.9482,74.54676628112793,0.574328239853023,1093.0,63.95242214202881,81.06129765510559,83.7145447731018,71.72444462776184,2.382571830493479
Medium Activity,4733,342,197.7280701754386,24.763157894736842,2661.0,3660.0,3896.0,4079.0,3202.5552,72.0945954322815,0.514904281091754,4733.0,56.22227191925049,82.31565356254578,86.18212342262268,67.66437888145447,2.403227767566864
High Activity,6542,176,477.7556818181818,46.85795454545455,3673.0,5037.0,5387.0,5659.0,4420.255,72.06172943115234,0.507638739749583,6542.0,56.14491105079651,82.34484791755676,86.50259971618652,67.56733059883118,2.360259759392178
