Dataset,Repeat Last (%),"Repeat Recent (not last, in 5) (%)","Repeat Older (in seq, not in 5) (%)",Not in Sequence (%),High Pointer Potential (%),Medium Pointer Potential (%),No Pointer Benefit (%),Improvement (pp)
Geolife,27.184466019417474,46.54483152484295,10.079954311821817,16.19074814391776,73.72929754426042,10.079954311821817,16.19074814391776,20.79
DIY,18.55595084087969,55.037192755498054,10.527166882276843,15.879689521345409,73.59314359637776,10.527166882276843,15.879689521345409,3.6799999999999997
